0	Calories	Proteins	Fibers	Carbs	Sodium
1	1100	    13	        19	    80	    500
2	1400	    19	        25	    130	    200
3	1800	    34	        26	    130	    2300
4	2000	    46	        26	    130	    2300
5	2400	    46	        25	    130	    2300
6	1800	    46	        25	    130	    2300
7	2200	    46	        25	    130	    2600
8	2400	    46	        25	    130	    2600
9	1800	    46	        21	    130	    2600
10	2000	    46	        21	    130	    2600
11	2200	    46	        21	    130	    2600
12	1800	    46	        21	    130	    2600
13	1100	    13	        19	    80	    500
14	1700	    27	        22	    130	    1900
15	2200	    48	        31	    130 	2100
16	2800	    52	        31	    130	    2100
17	3200	    54	        31	    130	    2100
18	2400	    54	        34  	130	    2300
19	2600	    56	        34	    130	    2300
20	3000	    59	        34	    130	    2300
21	2200	    51	        31	    130	    2300
22	2500	    54	        31	    130	    2300
23	2700	    57	        31	    130 	2300
24	2000	    56      	28  	130 	2300
